features,model_name,measure,value
kl2,random_forest,average_precision_score,0.548
kl2,random_forest,average_precision_score_0.01,0.267
kl2,random_forest,average_precision_score_0.05,0.281
kl2,random_forest,average_precision_score_0.1,0.34
kl2,lightgbm,roc_auc_score,0.78
kl2,lightgbm,average_precision_score,0.536
kl2,lightgbm,average_precision_score_0.01,0.257
kl2,lightgbm,average_precision_score_0.05,0.262
kl2,lightgbm,average_precision_score_0.1,0.321
kl2,xgboost,roc_auc_score,0.782
kl2,xgboost,average_precision_score,0.547
kl2,xgboost,average_precision_score_0.01,0.257
kl2,xgboost,average_precision_score_0.05,0.27
kl2,xgboost,average_precision_score_0.1,0.331
l12,log_reg,roc_auc_score,0.727
l12,log_reg,average_precision_score,0.402
l12,log_reg,average_precision_score_0.01,0.257
l12,log_reg,average_precision_score_0.05,0.258
l12,log_reg,average_precision_score_0.1,0.259
l12,random_forest,roc_auc_score,0.782
l12,random_forest,average_precision_score,0.552
l12,random_forest,average_precision_score_0.01,0.267
l12,random_forest,average_precision_score_0.05,0.277
l12,random_forest,average_precision_score_0.1,0.332
l12,lightgbm,roc_auc_score,0.776
l12,lightgbm,average_precision_score,0.53
l12,lightgbm,average_precision_score_0.01,0.257
l12,lightgbm,average_precision_score_0.05,0.257
l12,lightgbm,average_precision_score_0.1,0.257
l12,xgboost,roc_auc_score,0.784
l12,xgboost,average_precision_score,0.56
l12,xgboost,average_precision_score_0.01,0.257
l12,xgboost,average_precision_score_0.05,0.27
l12,xgboost,average_precision_score_0.1,0.331
l22,log_reg,roc_auc_score,0.699
l22,log_reg,average_precision_score,0.393
l22,log_reg,average_precision_score_0.01,0.257
l22,log_reg,average_precision_score_0.05,0.257
l22,log_reg,average_precision_score_0.1,0.258
l22,random_forest,roc_auc_score,0.75
l22,random_forest,average_precision_score,0.535
l22,random_forest,average_precision_score_0.01,0.266
l22,random_forest,average_precision_score_0.05,0.27
l22,random_forest,average_precision_score_0.1,0.285
l22,lightgbm,roc_auc_score,0.743
l22,lightgbm,average_precision_score,0.508
l22,lightgbm,average_precision_score_0.01,0.257
l22,lightgbm,average_precision_score_0.05,0.257
l22,lightgbm,average_precision_score_0.1,0.257
l22,xgboost,roc_auc_score,0.744
l22,xgboost,average_precision_score,0.513
l22,xgboost,average_precision_score_0.01,0.257
l22,xgboost,average_precision_score_0.05,0.257
l22,xgboost,average_precision_score_0.1,0.269
hd2,log_reg,roc_auc_score,0.714
hd2,log_reg,average_precision_score,0.38
hd2,log_reg,average_precision_score_0.01,0.257
hd2,log_reg,average_precision_score_0.05,0.258
hd2,log_reg,average_precision_score_0.1,0.259
hd2,random_forest,roc_auc_score,0.767
hd2,random_forest,average_precision_score,0.51
hd2,random_forest,average_precision_score_0.01,0.266
hd2,random_forest,average_precision_score_0.05,0.288
hd2,random_forest,average_precision_score_0.1,0.327
hd2,lightgbm,roc_auc_score,0.764
hd2,lightgbm,average_precision_score,0.497
hd2,lightgbm,average_precision_score_0.01,0.257
hd2,lightgbm,average_precision_score_0.05,0.257
hd2,lightgbm,average_precision_score_0.1,0.268
hd2,xgboost,roc_auc_score,0.763
hd2,xgboost,average_precision_score,0.497
hd2,xgboost,average_precision_score_0.01,0.257
hd2,xgboost,average_precision_score_0.05,0.269
hd2,xgboost,average_precision_score_0.1,0.316
lcc,log_reg,roc_auc_score,0.546
lcc,log_reg,average_precision_score,0.269
lcc,log_reg,average_precision_score_0.01,0.257
lcc,log_reg,average_precision_score_0.05,0.257
lcc,log_reg,average_precision_score_0.1,0.257
lcc,random_forest,roc_auc_score,0.574
lcc,random_forest,average_precision_score,0.293
lcc,random_forest,average_precision_score_0.01,0.259
lcc,random_forest,average_precision_score_0.05,0.261
lcc,random_forest,average_precision_score_0.1,0.262
lcc,lightgbm,roc_auc_score,0.579
lcc,lightgbm,average_precision_score,0.3
lcc,lightgbm,average_precision_score_0.01,0.257
lcc,lightgbm,average_precision_score_0.05,0.257
lcc,lightgbm,average_precision_score_0.1,0.257
lcc,xgboost,roc_auc_score,0.573
lcc,xgboost,average_precision_score,0.29
lcc,xgboost,average_precision_score_0.01,0.257
lcc,xgboost,average_precision_score_0.05,0.257
lcc,xgboost,average_precision_score_0.1,0.259
bc,log_reg,roc_auc_score,0.55
bc,log_reg,average_precision_score,0.271
bc,log_reg,average_precision_score_0.01,0.257
bc,log_reg,average_precision_score_0.05,0.257
bc,log_reg,average_precision_score_0.1,0.257
bc,random_forest,roc_auc_score,0.555
bc,random_forest,average_precision_score,0.283
