target,model_name,measure,value
in_mod_deg,lightgbm,spearmans,0.9470842996325841
in_mod_deg,lightgbm,kendall,0.8168027858816659
participation,linear_model,r2_score,0.30824467092788477
participation,linear_model,spearmans,0.5533764068692383
participation,linear_model,kendall,0.42931827499942854
participation,ridge,r2_score,0.27719420469092126
participation,ridge,spearmans,0.5346394985557356
participation,ridge,kendall,0.4143413492632624
participation,random_forest,r2_score,0.46763582228406764
participation,random_forest,spearmans,0.636258839521842
participation,random_forest,kendall,0.5038044822271552
participation,xgboost,r2_score,0.43628850229932825
participation,xgboost,spearmans,0.6229495261414935
participation,xgboost,kendall,0.49248592228067606
participation,lightgbm,r2_score,0.5060271449234397
participation,lightgbm,spearmans,0.65497374790216
participation,lightgbm,kendall,0.5187532631313301
beta_star,linear_model,r2_score,0.3487679451744985
beta_star,linear_model,spearmans,0.6159000131212584
beta_star,linear_model,kendall,0.4415787186576002
beta_star,ridge,r2_score,0.3290735667908964
beta_star,ridge,spearmans,0.597314285724023
beta_star,ridge,kendall,0.4256694017132334
beta_star,random_forest,r2_score,0.4529241526755121
beta_star,random_forest,spearmans,0.6835869442529096
beta_star,random_forest,kendall,0.5108035890670137
beta_star,xgboost,r2_score,0.4683056894654182
beta_star,xgboost,spearmans,0.7269187144287249
beta_star,xgboost,kendall,0.554276365588093
beta_star,lightgbm,r2_score,0.490527139486043
beta_star,lightgbm,spearmans,0.6951283149574439
beta_star,lightgbm,kendall,0.5124180918100264
l1,linear_model,r2_score,0.47292708328474997
l1,linear_model,spearmans,0.653967066275468
l1,linear_model,kendall,0.48133509657464013
l1,ridge,r2_score,0.4389841075406844
l1,ridge,spearmans,0.6326232482677344
l1,ridge,kendall,0.4615880518720692
l1,random_forest,r2_score,0.5995945065357093
l1,random_forest,spearmans,0.7542454237553475
l1,random_forest,kendall,0.5815057418529642
l1,xgboost,r2_score,0.6438891636388733
l1,xgboost,spearmans,0.7914373476939954
l1,xgboost,kendall,0.623190201772973
l1,lightgbm,r2_score,0.6182242267941103
l1,lightgbm,spearmans,0.7637472940272502
l1,lightgbm,kendall,0.5884346742805295
l2,linear_model,r2_score,0.38051732939148264
l2,linear_model,spearmans,0.6212634921459222
l2,linear_model,kendall,0.45226574708587375
l2,ridge,r2_score,0.35250755837936165
l2,ridge,spearmans,0.5950753326061288
l2,ridge,kendall,0.42890408739653785
l2,random_forest,r2_score,0.5003348322823513
l2,random_forest,spearmans,0.7002412062538683
l2,random_forest,kendall,0.535396115124794
l2,xgboost,r2_score,0.4999095889543086
l2,xgboost,spearmans,0.7366237836364753
l2,xgboost,kendall,0.5702681816843747
l2,lightgbm,r2_score,0.5287747920560355
l2,lightgbm,spearmans,0.7124881558962162
l2,lightgbm,kendall,0.5372513005829719
kl,linear_model,r2_score,0.3330882656522126
kl,linear_model,spearmans,0.5793675476152935
kl,linear_model,kendall,0.42431781020646087
kl,ridge,r2_score,0.3243920623649251
kl,ridge,spearmans,0.5667309148876986
kl,ridge,kendall,0.41299309879015944
kl,random_forest,r2_score,0.6363118059652795
kl,random_forest,spearmans,0.740566346030202
kl,random_forest,kendall,0.5735159663125134
kl,xgboost,r2_score,0.7003768633830825
kl,xgboost,spearmans,0.7898511062230067
kl,xgboost,kendall,0.6280685891746
kl,lightgbm,r2_score,0.6283432032075207
kl,lightgbm,spearmans,0.7386414704739208
kl,lightgbm,kendall,0.5713678969807451
hd,linear_model,r2_score,0.46878729092721483
hd,linear_model,spearmans,0.6507935380131812
hd,linear_model,kendall,0.4808239362757858
hd,ridge,r2_score,0.4411426707086681
hd,ridge,spearmans,0.6335291817299215
hd,ridge,kendall,0.46434109632190784
hd,random_forest,r2_score,0.6483284421626274
hd,random_forest,spearmans,0.7695480005292051
hd,random_forest,kendall,0.6006661554441529
