features,model_name,measure,value
kl2,log_reg,average_precision_score,0.299
kl2,log_reg,average_precision_score_0.01,0.206
kl2,log_reg,average_precision_score_0.05,0.207
kl2,log_reg,average_precision_score_0.1,0.209
kl2,random_forest,roc_auc_score,0.755
kl2,random_forest,average_precision_score,0.467
kl2,random_forest,average_precision_score_0.01,0.224
kl2,random_forest,average_precision_score_0.05,0.253
kl2,random_forest,average_precision_score_0.1,0.278
kl2,lightgbm,roc_auc_score,0.754
kl2,lightgbm,average_precision_score,0.439
kl2,lightgbm,average_precision_score_0.01,0.206
kl2,lightgbm,average_precision_score_0.05,0.231
kl2,lightgbm,average_precision_score_0.1,0.274
kl2,xgboost,roc_auc_score,0.752
kl2,xgboost,average_precision_score,0.432
kl2,xgboost,average_precision_score_0.01,0.206
kl2,xgboost,average_precision_score_0.05,0.228
kl2,xgboost,average_precision_score_0.1,0.269
l12,log_reg,roc_auc_score,0.687
l12,log_reg,average_precision_score,0.311
l12,log_reg,average_precision_score_0.01,0.206
l12,log_reg,average_precision_score_0.05,0.206
l12,log_reg,average_precision_score_0.1,0.206
l12,random_forest,roc_auc_score,0.805
l12,random_forest,average_precision_score,0.543
l12,random_forest,average_precision_score_0.01,0.22
l12,random_forest,average_precision_score_0.05,0.248
l12,random_forest,average_precision_score_0.1,0.292
l12,lightgbm,roc_auc_score,0.807
l12,lightgbm,average_precision_score,0.547
l12,lightgbm,average_precision_score_0.01,0.206
l12,lightgbm,average_precision_score_0.05,0.237
l12,lightgbm,average_precision_score_0.1,0.286
l12,xgboost,roc_auc_score,0.813
l12,xgboost,average_precision_score,0.552
l12,xgboost,average_precision_score_0.01,0.206
l12,xgboost,average_precision_score_0.05,0.241
l12,xgboost,average_precision_score_0.1,0.298
l22,log_reg,roc_auc_score,0.678
l22,log_reg,average_precision_score,0.302
l22,log_reg,average_precision_score_0.01,0.206
l22,log_reg,average_precision_score_0.05,0.206
l22,log_reg,average_precision_score_0.1,0.206
l22,random_forest,roc_auc_score,0.768
l22,random_forest,average_precision_score,0.453
l22,random_forest,average_precision_score_0.01,0.22
l22,random_forest,average_precision_score_0.05,0.247
l22,random_forest,average_precision_score_0.1,0.265
l22,lightgbm,roc_auc_score,0.751
l22,lightgbm,average_precision_score,0.418
l22,lightgbm,average_precision_score_0.01,0.206
l22,lightgbm,average_precision_score_0.05,0.227
l22,lightgbm,average_precision_score_0.1,0.258
l22,xgboost,roc_auc_score,0.761
l22,xgboost,average_precision_score,0.441
l22,xgboost,average_precision_score_0.01,0.206
l22,xgboost,average_precision_score_0.05,0.24
l22,xgboost,average_precision_score_0.1,0.266
hd2,log_reg,roc_auc_score,0.643
hd2,log_reg,average_precision_score,0.281
hd2,log_reg,average_precision_score_0.01,0.206
hd2,log_reg,average_precision_score_0.05,0.206
hd2,log_reg,average_precision_score_0.1,0.206
hd2,random_forest,roc_auc_score,0.727
hd2,random_forest,average_precision_score,0.429
hd2,random_forest,average_precision_score_0.01,0.214
hd2,random_forest,average_precision_score_0.05,0.242
hd2,random_forest,average_precision_score_0.1,0.259
hd2,lightgbm,roc_auc_score,0.713
hd2,lightgbm,average_precision_score,0.394
hd2,lightgbm,average_precision_score_0.01,0.206
hd2,lightgbm,average_precision_score_0.05,0.206
hd2,lightgbm,average_precision_score_0.1,0.233
hd2,xgboost,roc_auc_score,0.718
hd2,xgboost,average_precision_score,0.413
hd2,xgboost,average_precision_score_0.01,0.206
hd2,xgboost,average_precision_score_0.05,0.239
hd2,xgboost,average_precision_score_0.1,0.257
lcc,log_reg,roc_auc_score,0.568
lcc,log_reg,average_precision_score,0.234
lcc,log_reg,average_precision_score_0.01,0.206
lcc,log_reg,average_precision_score_0.05,0.206
lcc,log_reg,average_precision_score_0.1,0.206
lcc,random_forest,roc_auc_score,0.561
lcc,random_forest,average_precision_score,0.234
lcc,random_forest,average_precision_score_0.01,0.206
lcc,random_forest,average_precision_score_0.05,0.207
lcc,random_forest,average_precision_score_0.1,0.21
lcc,lightgbm,roc_auc_score,0.563
lcc,lightgbm,average_precision_score,0.243
lcc,lightgbm,average_precision_score_0.01,0.206
lcc,lightgbm,average_precision_score_0.05,0.206
lcc,lightgbm,average_precision_score_0.1,0.206
lcc,xgboost,roc_auc_score,0.566
lcc,xgboost,average_precision_score,0.241
lcc,xgboost,average_precision_score_0.01,0.206
lcc,xgboost,average_precision_score_0.05,0.206
lcc,xgboost,average_precision_score_0.1,0.208
bc,log_reg,roc_auc_score,0.511
bc,log_reg,average_precision_score,0.219
bc,log_reg,average_precision_score_0.01,0.206
bc,log_reg,average_precision_score_0.05,0.206
bc,log_reg,average_precision_score_0.1,0.206
bc,random_forest,roc_auc_score,0.507
bc,random_forest,average_precision_score,0.214
bc,random_forest,average_precision_score_0.01,0.206
bc,random_forest,average_precision_score_0.05,0.206
bc,random_forest,average_precision_score_0.1,0.204
bc,lightgbm,roc_auc_score,0.511
bc,lightgbm,average_precision_score,0.21
bc,lightgbm,average_precision_score_0.01,0.206
bc,lightgbm,average_precision_score_0.05,0.206
bc,lightgbm,average_precision_score_0.1,0.206
bc,xgboost,roc_auc_score,0.527
bc,xgboost,average_precision_score,0.218
bc,xgboost,average_precision_score_0.01,0.206
bc,xgboost,average_precision_score_0.05,0.207
bc,xgboost,average_precision_score_0.1,0.21
dc,log_reg,roc_auc_score,0.52
dc,log_reg,average_precision_score,0.22
dc,log_reg,average_precision_score_0.01,0.206
dc,log_reg,average_precision_score_0.05,0.206
dc,log_reg,average_precision_score_0.1,0.206
dc,random_forest,roc_auc_score,0.536
dc,random_forest,average_precision_score,0.224
dc,random_forest,average_precision_score_0.01,0.207
dc,random_forest,average_precision_score_0.05,0.205
dc,random_forest,average_precision_score_0.1,0.205
dc,lightgbm,roc_auc_score,0.534
dc,lightgbm,average_precision_score,0.224
dc,lightgbm,average_precision_score_0.01,0.206
dc,lightgbm,average_precision_score_0.05,0.206
dc,lightgbm,average_precision_score_0.1,0.206
dc,xgboost,roc_auc_score,0.524
dc,xgboost,average_precision_score,0.219
dc,xgboost,average_precision_score_0.01,0.206
dc,xgboost,average_precision_score_0.05,0.206
dc,xgboost,average_precision_score_0.1,0.206
ndc,log_reg,roc_auc_score,0.528
ndc,log_reg,average_precision_score,0.235
ndc,log_reg,average_precision_score_0.01,0.206
ndc,log_reg,average_precision_score_0.05,0.206
ndc,log_reg,average_precision_score_0.1,0.206
ndc,random_forest,roc_auc_score,0.544
ndc,random_forest,average_precision_score,0.292
ndc,random_forest,average_precision_score_0.01,0.207
ndc,random_forest,average_precision_score_0.05,0.207
ndc,random_forest,average_precision_score_0.1,0.207
ndc,lightgbm,roc_auc_score,0.518
ndc,lightgbm,average_precision_score,0.265
ndc,lightgbm,average_precision_score_0.01,0.206
ndc,lightgbm,average_precision_score_0.05,0.206
ndc,lightgbm,average_precision_score_0.1,0.206
ndc,xgboost,roc_auc_score,0.543
ndc,xgboost,average_precision_score,0.29
ndc,xgboost,average_precision_score_0.01,0.206
ndc,xgboost,average_precision_score_0.05,0.206
ndc,xgboost,average_precision_score_0.1,0.206
cc,log_reg,roc_auc_score,0.558
cc,log_reg,average_precision_score,0.242
cc,log_reg,average_precision_score_0.01,0.206
cc,log_reg,average_precision_score_0.05,0.206
cc,log_reg,average_precision_score_0.1,0.206
cc,random_forest,roc_auc_score,0.562
cc,random_forest,average_precision_score,0.283
cc,random_forest,average_precision_score_0.01,0.206
cc,random_forest,average_precision_score_0.05,0.206
cc,random_forest,average_precision_score_0.1,0.207
cc,lightgbm,roc_auc_score,0.539
cc,lightgbm,average_precision_score,0.245
cc,lightgbm,average_precision_score_0.01,0.206
cc,lightgbm,average_precision_score_0.05,0.206
cc,lightgbm,average_precision_score_0.1,0.206
cc,xgboost,roc_auc_score,0.53
cc,xgboost,average_precision_score,0.267
cc,xgboost,average_precision_score_0.01,0.206
cc,xgboost,average_precision_score_0.05,0.204
cc,xgboost,average_precision_score_0.1,0.206
ec,log_reg,roc_auc_score,0.577
ec,log_reg,average_precision_score,0.231
ec,log_reg,average_precision_score_0.01,0.206
ec,log_reg,average_precision_score_0.05,0.206
ec,log_reg,average_precision_score_0.1,0.206
ec,random_forest,roc_auc_score,0.607
ec,random_forest,average_precision_score,0.262
ec,random_forest,average_precision_score_0.01,0.224
ec,random_forest,average_precision_score_0.05,0.227
ec,random_forest,average_precision_score_0.1,0.231
ec,lightgbm,roc_auc_score,0.63
