features,model_name,measure,value
lcc,xgboost,average_precision_score_0.1,0.009
bc,log_reg,roc_auc_score,0.616
bc,log_reg,average_precision_score,0.014
bc,log_reg,average_precision_score_0.01,0.009
bc,log_reg,average_precision_score_0.05,0.009
bc,log_reg,average_precision_score_0.1,0.009
bc,random_forest,roc_auc_score,0.665
bc,random_forest,average_precision_score,0.017
bc,random_forest,average_precision_score_0.01,0.012
bc,random_forest,average_precision_score_0.05,0.009
bc,random_forest,average_precision_score_0.1,0.01
bc,lightgbm,roc_auc_score,0.604
bc,lightgbm,average_precision_score,0.014
bc,lightgbm,average_precision_score_0.01,0.009
bc,lightgbm,average_precision_score_0.05,0.009
bc,lightgbm,average_precision_score_0.1,0.009
bc,xgboost,roc_auc_score,0.634
bc,xgboost,average_precision_score,0.013
bc,xgboost,average_precision_score_0.01,0.009
bc,xgboost,average_precision_score_0.05,0.009
bc,xgboost,average_precision_score_0.1,0.009
dc,log_reg,roc_auc_score,0.65
dc,log_reg,average_precision_score,0.014
dc,log_reg,average_precision_score_0.01,0.009
dc,log_reg,average_precision_score_0.05,0.009
dc,log_reg,average_precision_score_0.1,0.009
dc,random_forest,roc_auc_score,0.662
dc,random_forest,average_precision_score,0.014
dc,random_forest,average_precision_score_0.01,0.012
dc,random_forest,average_precision_score_0.05,0.009
dc,random_forest,average_precision_score_0.1,0.009
dc,lightgbm,roc_auc_score,0.662
dc,lightgbm,average_precision_score,0.014
dc,lightgbm,average_precision_score_0.01,0.009
dc,lightgbm,average_precision_score_0.05,0.009
dc,lightgbm,average_precision_score_0.1,0.009
dc,xgboost,roc_auc_score,0.669
dc,xgboost,average_precision_score,0.014
dc,xgboost,average_precision_score_0.01,0.009
dc,xgboost,average_precision_score_0.05,0.009
dc,xgboost,average_precision_score_0.1,0.009
ndc,log_reg,roc_auc_score,0.551
ndc,log_reg,average_precision_score,0.013
ndc,log_reg,average_precision_score_0.01,0.009
ndc,log_reg,average_precision_score_0.05,0.009
ndc,log_reg,average_precision_score_0.1,0.009
ndc,random_forest,roc_auc_score,0.644
ndc,random_forest,average_precision_score,0.013
ndc,random_forest,average_precision_score_0.01,0.012
ndc,random_forest,average_precision_score_0.05,0.009
ndc,random_forest,average_precision_score_0.1,0.009
ndc,lightgbm,roc_auc_score,0.662
ndc,lightgbm,average_precision_score,0.014
ndc,lightgbm,average_precision_score_0.01,0.009
ndc,lightgbm,average_precision_score_0.05,0.009
ndc,lightgbm,average_precision_score_0.1,0.009
ndc,xgboost,roc_auc_score,0.626
ndc,xgboost,average_precision_score,0.012
ndc,xgboost,average_precision_score_0.01,0.009
ndc,xgboost,average_precision_score_0.05,0.009
ndc,xgboost,average_precision_score_0.1,0.009
cc,log_reg,roc_auc_score,0.506
cc,log_reg,average_precision_score,0.009
cc,log_reg,average_precision_score_0.01,0.009
cc,log_reg,average_precision_score_0.05,0.009
cc,log_reg,average_precision_score_0.1,0.009
cc,random_forest,roc_auc_score,0.522
cc,random_forest,average_precision_score,0.009
cc,random_forest,average_precision_score_0.01,0.008
cc,random_forest,average_precision_score_0.05,0.009
cc,random_forest,average_precision_score_0.1,0.009
cc,lightgbm,roc_auc_score,0.437
cc,lightgbm,average_precision_score,0.008
cc,lightgbm,average_precision_score_0.01,0.009
cc,lightgbm,average_precision_score_0.05,0.009
cc,lightgbm,average_precision_score_0.1,0.009
cc,xgboost,roc_auc_score,0.522
cc,xgboost,average_precision_score,0.01
cc,xgboost,average_precision_score_0.01,0.009
cc,xgboost,average_precision_score_0.05,0.009
cc,xgboost,average_precision_score_0.1,0.009
ec,log_reg,roc_auc_score,0.546
ec,log_reg,average_precision_score,0.01
ec,log_reg,average_precision_score_0.01,0.009
ec,log_reg,average_precision_score_0.05,0.009
ec,log_reg,average_precision_score_0.1,0.009
ec,random_forest,roc_auc_score,0.472
ec,random_forest,average_precision_score,0.008
ec,random_forest,average_precision_score_0.01,0.009
ec,random_forest,average_precision_score_0.05,0.009
ec,random_forest,average_precision_score_0.1,0.009
ec,lightgbm,roc_auc_score,0.492
ec,lightgbm,average_precision_score,0.009
ec,lightgbm,average_precision_score_0.01,0.008
ec,lightgbm,average_precision_score_0.05,0.009
ec,lightgbm,average_precision_score_0.1,0.009
ec,xgboost,roc_auc_score,0.453
ec,xgboost,average_precision_score,0.008
ec,xgboost,average_precision_score_0.01,0.009
ec,xgboost,average_precision_score_0.05,0.009
ec,xgboost,average_precision_score_0.1,0.009
eccen,log_reg,roc_auc_score,0.521
eccen,log_reg,average_precision_score,0.009
eccen,log_reg,average_precision_score_0.01,0.009
eccen,log_reg,average_precision_score_0.05,0.009
eccen,log_reg,average_precision_score_0.1,0.009
eccen,random_forest,roc_auc_score,0.483
eccen,random_forest,average_precision_score,0.009
eccen,random_forest,average_precision_score_0.01,0.008
eccen,random_forest,average_precision_score_0.05,0.009
eccen,random_forest,average_precision_score_0.1,0.009
eccen,lightgbm,roc_auc_score,0.493
eccen,lightgbm,average_precision_score,0.009
eccen,lightgbm,average_precision_score_0.01,0.009
eccen,lightgbm,average_precision_score_0.05,0.009
eccen,lightgbm,average_precision_score_0.1,0.009
eccen,xgboost,roc_auc_score,0.497
eccen,xgboost,average_precision_score,0.01
eccen,xgboost,average_precision_score_0.01,0.008
eccen,xgboost,average_precision_score_0.05,0.009
eccen,xgboost,average_precision_score_0.1,0.009
core,log_reg,roc_auc_score,0.598
core,log_reg,average_precision_score,0.011
core,log_reg,average_precision_score_0.01,0.009
core,log_reg,average_precision_score_0.05,0.009
core,log_reg,average_precision_score_0.1,0.009
core,random_forest,roc_auc_score,0.596
core,random_forest,average_precision_score,0.011
core,random_forest,average_precision_score_0.01,0.011
core,random_forest,average_precision_score_0.05,0.009
core,random_forest,average_precision_score_0.1,0.009
core,lightgbm,roc_auc_score,0.596
core,lightgbm,average_precision_score,0.011
core,lightgbm,average_precision_score_0.01,0.009
core,lightgbm,average_precision_score_0.05,0.009
core,lightgbm,average_precision_score_0.1,0.009
core,xgboost,roc_auc_score,0.596
core,xgboost,average_precision_score,0.011
core,xgboost,average_precision_score_0.01,0.009
core,xgboost,average_precision_score_0.05,0.009
core,xgboost,average_precision_score_0.1,0.009
participation_in_mod_deg,log_reg,roc_auc_score,0.678
participation_in_mod_deg,log_reg,average_precision_score,0.027
participation_in_mod_deg,log_reg,average_precision_score_0.01,0.008
participation_in_mod_deg,log_reg,average_precision_score_0.05,0.009
participation_in_mod_deg,log_reg,average_precision_score_0.1,0.009
participation_in_mod_deg,random_forest,roc_auc_score,0.637
participation_in_mod_deg,random_forest,average_precision_score,0.035
participation_in_mod_deg,random_forest,average_precision_score_0.01,0.01
participation_in_mod_deg,random_forest,average_precision_score_0.05,0.013
participation_in_mod_deg,random_forest,average_precision_score_0.1,0.014
participation_in_mod_deg,lightgbm,roc_auc_score,0.594
participation_in_mod_deg,lightgbm,average_precision_score,0.021
participation_in_mod_deg,lightgbm,average_precision_score_0.01,0.01
participation_in_mod_deg,lightgbm,average_precision_score_0.05,0.014
participation_in_mod_deg,lightgbm,average_precision_score_0.1,0.009
participation_in_mod_deg,xgboost,roc_auc_score,0.651
participation_in_mod_deg,xgboost,average_precision_score,0.025
participation_in_mod_deg,xgboost,average_precision_score_0.01,0.011
participation_in_mod_deg,xgboost,average_precision_score_0.05,0.012
participation_in_mod_deg,xgboost,average_precision_score_0.1,0.015
node2vec,log_reg,roc_auc_score,0.62
node2vec,log_reg,average_precision_score,0.015
node2vec,log_reg,average_precision_score_0.01,0.009
node2vec,log_reg,average_precision_score_0.05,0.009
node2vec,log_reg,average_precision_score_0.1,0.009
node2vec,random_forest,roc_auc_score,0.55
node2vec,random_forest,average_precision_score,0.012
node2vec,random_forest,average_precision_score_0.01,0.009
node2vec,random_forest,average_precision_score_0.05,0.009
node2vec,random_forest,average_precision_score_0.1,0.009
node2vec,lightgbm,roc_auc_score,0.541
node2vec,lightgbm,average_precision_score,0.01
node2vec,lightgbm,average_precision_score_0.01,0.009
node2vec,lightgbm,average_precision_score_0.05,0.009
node2vec,lightgbm,average_precision_score_0.1,0.009
node2vec,xgboost,roc_auc_score,0.567
node2vec,xgboost,average_precision_score,0.012
node2vec,xgboost,average_precision_score_0.01,0.011
node2vec,xgboost,average_precision_score_0.05,0.009
node2vec,xgboost,average_precision_score_0.1,0.009
struc2vec,log_reg,roc_auc_score,0.639
struc2vec,log_reg,average_precision_score,0.018
struc2vec,log_reg,average_precision_score_0.01,0.009
struc2vec,log_reg,average_precision_score_0.05,0.009
struc2vec,log_reg,average_precision_score_0.1,0.009
struc2vec,random_forest,roc_auc_score,0.647
struc2vec,random_forest,average_precision_score,0.013
struc2vec,random_forest,average_precision_score_0.01,0.012
struc2vec,random_forest,average_precision_score_0.05,0.009
struc2vec,random_forest,average_precision_score_0.1,0.009
struc2vec,lightgbm,roc_auc_score,0.565
struc2vec,lightgbm,average_precision_score,0.011
struc2vec,lightgbm,average_precision_score_0.01,0.009
struc2vec,lightgbm,average_precision_score_0.05,0.009
struc2vec,lightgbm,average_precision_score_0.1,0.009
struc2vec,xgboost,roc_auc_score,0.638
struc2vec,xgboost,average_precision_score,0.019
struc2vec,xgboost,average_precision_score_0.01,0.01
struc2vec,xgboost,average_precision_score_0.05,0.01
struc2vec,xgboost,average_precision_score_0.1,0.009
