features,model_name,measure,value
l22,log_reg,average_precision_score,0.124
l22,log_reg,average_precision_score_0.01,0.086
l22,log_reg,average_precision_score_0.05,0.086
l22,log_reg,average_precision_score_0.1,0.086
l22,random_forest,roc_auc_score,0.605
l22,random_forest,average_precision_score,0.159
l22,random_forest,average_precision_score_0.01,0.088
l22,random_forest,average_precision_score_0.05,0.089
l22,random_forest,average_precision_score_0.1,0.113
l22,lightgbm,roc_auc_score,0.586
l22,lightgbm,average_precision_score,0.143
l22,lightgbm,average_precision_score_0.01,0.087
l22,lightgbm,average_precision_score_0.05,0.089
l22,lightgbm,average_precision_score_0.1,0.099
l22,xgboost,roc_auc_score,0.568
l22,xgboost,average_precision_score,0.154
l22,xgboost,average_precision_score_0.01,0.086
l22,xgboost,average_precision_score_0.05,0.09
l22,xgboost,average_precision_score_0.1,0.095
hd2,log_reg,roc_auc_score,0.598
hd2,log_reg,average_precision_score,0.125
hd2,log_reg,average_precision_score_0.01,0.086
hd2,log_reg,average_precision_score_0.05,0.086
hd2,log_reg,average_precision_score_0.1,0.086
hd2,random_forest,roc_auc_score,0.613
hd2,random_forest,average_precision_score,0.151
hd2,random_forest,average_precision_score_0.01,0.088
hd2,random_forest,average_precision_score_0.05,0.096
hd2,random_forest,average_precision_score_0.1,0.106
hd2,lightgbm,roc_auc_score,0.598
hd2,lightgbm,average_precision_score,0.151
hd2,lightgbm,average_precision_score_0.01,0.086
hd2,lightgbm,average_precision_score_0.05,0.087
hd2,lightgbm,average_precision_score_0.1,0.109
hd2,xgboost,roc_auc_score,0.599
hd2,xgboost,average_precision_score,0.174
hd2,xgboost,average_precision_score_0.01,0.087
hd2,xgboost,average_precision_score_0.05,0.093
hd2,xgboost,average_precision_score_0.1,0.101
lcc,log_reg,roc_auc_score,0.646
lcc,log_reg,average_precision_score,0.126
lcc,log_reg,average_precision_score_0.01,0.086
lcc,log_reg,average_precision_score_0.05,0.086
lcc,log_reg,average_precision_score_0.1,0.086
lcc,random_forest,roc_auc_score,0.647
lcc,random_forest,average_precision_score,0.124
lcc,random_forest,average_precision_score_0.01,0.098
lcc,random_forest,average_precision_score_0.05,0.112
lcc,random_forest,average_precision_score_0.1,0.119
lcc,lightgbm,roc_auc_score,0.653
lcc,lightgbm,average_precision_score,0.125
lcc,lightgbm,average_precision_score_0.01,0.086
lcc,lightgbm,average_precision_score_0.05,0.098
lcc,lightgbm,average_precision_score_0.1,0.118
lcc,xgboost,roc_auc_score,0.661
lcc,xgboost,average_precision_score,0.126
lcc,xgboost,average_precision_score_0.01,0.086
lcc,xgboost,average_precision_score_0.05,0.086
lcc,xgboost,average_precision_score_0.1,0.086
bc,log_reg,roc_auc_score,0.663
bc,log_reg,average_precision_score,0.126
bc,log_reg,average_precision_score_0.01,0.086
bc,log_reg,average_precision_score_0.05,0.086
bc,log_reg,average_precision_score_0.1,0.086
