emb_node2vec_0,emb_node2vec_1,emb_node2vec_2,emb_node2vec_3,emb_node2vec_4,emb_node2vec_5,emb_node2vec_6,emb_node2vec_7,emb_node2vec_8,emb_node2vec_9,emb_node2vec_10,emb_node2vec_11,emb_node2vec_12,emb_node2vec_13,emb_node2vec_14,emb_node2vec_15
-0.06485281,-0.33134896,0.22527671,0.30621317,0.4087073,0.06649673,0.48683485,-0.09866953,-0.19655614,0.20372865,-0.2115816,0.04987593,0.35455573,-0.2869011,-0.11981456,-0.120030396
-0.26356646,-0.51420206,0.07259695,0.7755224,0.5968213,-0.12206574,-0.051621664,-0.5655962,0.6183285,-0.047439013,-0.084943525,0.18902102,0.033365116,-0.5096548,-0.49724025,0.4466803
0.02391611,-0.19955565,1.1237493,0.28702918,-0.011544033,-0.21472853,0.38538834,-0.035780318,-0.20199153,0.20719188,-0.6677499,-0.06401612,-0.10548205,-0.55395925,-0.23474272,0.36222172
-0.3756242,-0.5442644,-0.17497231,0.05717643,0.12650391,-0.15003482,1.3964744,-1.005777,0.19518234,0.043201525,-0.5240429,0.49394062,0.4887162,-0.07335927,0.057238344,-0.22481959
-0.40400237,-0.26036102,0.5879274,0.6934522,0.3599057,0.5886409,0.22617689,-0.22032818,0.06806926,0.58467513,-0.5060221,0.6392226,-0.6273084,0.2603701,-0.55547273,-1.4364908
-0.43846938,-0.8841803,0.37082583,0.117607035,0.044125468,1.063061,0.6310375,0.10184737,0.28843984,-0.48660722,-0.01583066,0.2564121,0.26592106,-0.30027604,-0.45709768,0.058844928
-0.022838127,-0.21063504,0.5114729,0.48466873,0.32362306,0.30692607,0.34985453,0.122229144,0.16440308,0.047171004,-0.18303801,0.03630483,0.14803936,-0.22068708,-0.21813338,-0.074445724
-1.1487421,-0.7338107,0.6060871,0.3788475,-0.13774964,-0.14179368,0.32771093,-0.7774823,-0.044085305,0.19911034,0.26859713,-0.07351683,0.6087628,-0.98540306,0.37860423,-0.8513409
-0.57026184,0.5082479,0.39985746,0.72727686,0.18975054,0.47624588,-0.028560318,-0.11498711,-0.14134519,0.1846195,-0.18010329,-0.19784677,0.31867304,-0.46162084,-0.8360547,-0.3483902
-0.35956362,-0.32180285,0.08354712,0.25608945,0.9486806,0.12583818,0.81697446,0.72912663,0.75375104,0.473597,-0.49043396,-0.109795555,0.23338455,0.029125273,-0.25978288,-0.24509853
